期数,日期,红球,蓝球,销售额,奖池金额,一等奖中奖人数,一等奖中奖金额,二等奖中奖人数,二等奖中奖金额,三等奖中奖人数,三等奖中奖金额,四等奖中奖人数,四等奖中奖金额,五等奖中奖人数,五等奖中奖金额,六等奖中奖人数,六等奖中奖金额,中奖情况
2022050,2022-05-05(四),"03,05,08,14,27,33",08,363371278,1916892944,16,6080345,141,153240,1739,3000,84801,200,1523857,10,10841704,5,"北京2注,辽宁1注,黑龙江1注,江苏1注,山东1注,重庆1注,河南7注,广东1注,四川1注,共16注。"
2022049,2022-05-03(二),"02,04,07,18,25,26",10,337463590,1949357745,0,0,127,175848,1317,3000,72123,200,1387553,10,8754985,5,共0注。
2022048,2022-05-01(日),"05,07,17,20,26,31",14,357972850,1882359418,4,10000000,180,165454,969,3000,58888,200,1279419,10,5760142,5,"辽宁1注,江西1注,广东1注,贵州1注,共4注。"
2022047,2022-04-28(四),"03,07,08,14,27,30",09,360230056,1833014021,21,5625122,128,128199,2667,3000,99201,200,1570894,10,13464939,5,"上海1注,浙江2注,福建4注,江西1注,山东2注,重庆1注,湖北1注,湖南1注,四川2注,贵州5注,深圳1注,共21注。"
2022046,2022-04-26(二),"02,11,24,25,27,30",14,358743356,1901913181,9,7489274,132,212154,1157,3000,64937,200,1254336,10,6953028,5,"黑龙江1注,江苏1注,浙江3注,江西1注,河南1注,贵州1注,青海1注,共9注。"
2022045,2022-04-24(日),"03,12,17,18,19,28",04,389120778,1885303642,7,7472273,182,118859,2554,3000,114388,200,2005751,10,10708499,5,"辽宁1注,浙江1注,安徽1注,江西1注,山东2注,湖南1注,共7注。"
2022044,2022-04-21(四),"01,07,08,21,23,29",06,362459788,1872712376,11,6476085,123,165009,1657,3000,75494,200,1392004,10,12486156,5,"河南1注,湖南6注,陕西1注,新疆3注,共11注。"
2022043,2022-04-19(二),"02,17,20,23,25,27",08,350215018,1883060805,9,6718875,54,358098,1312,3000,66237,200,1274684,10,12865148,5,"浙江1注,江西1注,山东2注,广东2注,贵州1注,云南2注,共9注。"
2022042,2022-04-17(日),"05,10,11,21,22,30",13,376726628,1885518647,10,7059021,175,147072,1624,3000,77105,200,1574277,10,9121844,5,"北京1注,山西1注,江苏2注,浙江1注,四川3注,陕西2注,共10注。"
2022041,2022-04-14(四),"05,07,21,22,24,29",14,348280000,1878895566,4,10000000,57,504454,799,3000,47352,200,1061711,10,6631431,5,"辽宁1注,黑龙江1注,重庆2注,共4注。"
2022040,2022-04-12(二),"03,12,14,16,31,33",12,343211044,1832633915,15,5830283,119,130821,1322,3000,72884,200,1344156,10,14783565,5,"北京1注,内蒙古1注,江苏1注,安徽1注,江西1注,山东1注,重庆2注,湖北4注,广东1注,贵州1注,陕西1注,共15注。"
